Optimal Schedule Length: 35
11.591796875
[0, 5, 0, 0, 0]
[5, 5, 0, 1, 1]
[5, 5, 1, 0, 1]
[10, 5, 0, 2, 2]
[10, 5, 1, 1, 2]
[10, 5, 3, 0, 2]
[15, 5, 1, 2, 3]
[15, 5, 5, 1, 3]
[15, 5, 7, 0, 3]
[20, 5, 2, 2, 4]
[20, 5, 6, 1, 4]
[20, 5, 13, 0, 4]
[25, 5, 3, 2, 5]
[25, 5, 14, 0, 5]
[30, 0, 0, 0, 6]
[30, 5, 4, 2, 6]
[30, 5, 14, 1, 6]
[35, 0, 0, 1, 7]
[35, 0, 0, 2, 7]

