Optimal Schedule Length: 50
18.375244140625
[0, 5, 0, 0, 0]
[5, 5, 1, 0, 1]
[5, 5, 0, 2, 1]
[10, 5, 1, 2, 2]
[10, 5, 0, 1, 2]
[15, 5, 1, 1, 3]
[15, 5, 7, 0, 3]
[15, 5, 7, 2, 3]
[20, 5, 9, 0, 4]
[20, 5, 9, 2, 4]
[25, 5, 11, 0, 5]
[25, 5, 13, 1, 5]
[25, 5, 10, 2, 5]
[30, 5, 11, 1, 6]
[30, 5, 13, 0, 6]
[35, 5, 8, 1, 7]
[35, 5, 12, 2, 7]
[35, 5, 14, 0, 7]
[40, 0, 0, 0, 8]
[40, 5, 10, 1, 8]
[40, 5, 14, 2, 8]
[45, 0, 0, 2, 9]
[45, 5, 14, 1, 9]
[50, 0, 0, 1, 10]

